StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q11,Q2,Q3,Q12,Q4,Q8,Q9
2021-04-26 14:17:06,2021-04-26 14:34:16,IP Address,67.183.228.238,100,1029,True,2021-04-26 14:34:16,R_214FSvI6DSpnzVK,,,,,47.5558929443359375,-121.9987030029296875,anonymous,EN,X06BAGR,"No ",Freddie,Jim (White),,Freddie,"1. surveys - where to stop 2. very straightforward diagnoses, tom felt more hesitant about medical care and ambivalent about health, difficult patient  3. does repeated tell health visits lower stress? or patients that are more ambivalent like tom induce more stress, unlike freddie ","Participant had to leave because he connected on his phone, planning on coming back on his laptop, this was right before the first set of surveys. Participant answered questions ahead of time, confused on where to stop. Freddie was supposed to have tech issues, and did not."
2021-04-27 15:37:41,2021-04-27 15:42:38,IP Address,97.113.132.228,100,296,True,2021-04-27 15:42:38,R_0BR6XCLmmHnaDzr,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,lo1268bl,no,Freddie,David (Black),,Freddie,"1) At the end of their meeting with the first participant they were confused about whether to finish the interaction before or after they give treatment recommendations (I told them after), 2) no 3) how provider stress affects communication and patient care plans 3a) when asked the question",yes both actors found they were assigned NOT to have tech difficulties so neither did
2021-04-28 11:23:35,2021-04-28 12:37:13,IP Address,67.183.228.238,100,4418,True,2021-04-28 12:37:14,R_OHJsJodCvRiPbzz,,,,,47.5558929443359375,-121.9987030029296875,anonymous,EN,RA12FIBL,No,Freddie,David (Black),,Freddie,"1. the survey - would have been better to have SECOND patient. Also, the faces were a bit hard to see during the bias portion.  2. implicit bias, but he saw it before he saw second patient. also technological challenge humps, whole new ballpark for all of us, knowing when to move on and not keep trying to teach people how to deal with technology. considering generational differences in technology. sensitivity in counseling is very important as well.  3. wouldn’t know, would have to look more about participants. probably focused on zoom creates challenges in navigating healthcare. by the sound of tom’s voice, he could make a guess on his race, and would he treat him differently. ","The student went through the first part of the study correctly, but then got confused during the state anxiety 2 measure and went all the way through the rest of the survey, up until the bias part. He put in his results for the first patient twice, once where he was supposed to and once for the second patient. Q260-Q266 he is talking about the first patient again. Freddie was supposed to experience tech issues, and did, but Tom experienced extreme tech issues as well. He joined on his phone, was muted for a long time, and did not turn on his video. "
2021-04-29 14:22:44,2021-04-29 14:56:31,IP Address,24.143.110.102,100,2027,True,2021-04-29 14:56:31,R_3lrwB3k5V2PgsT3,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,X09XBR,no,Tom,David (Black),,Tom,"1. Everything was clear. 2. trouble with headphones; noticed that they were different races but similar ages, one had a common acute complaint and the other a longstanding problem. Noticed race during second patient exam. 3) looking at personality type and interactions with Telehealth. whether there's a relation between pre-interaction stress and outcomes, is there a correlation between post interview stress and outcomes.","Nothing odd! "
2021-04-29 16:19:22,2021-04-29 17:04:10,IP Address,24.143.110.102,100,2687,True,2021-04-29 17:04:10,R_23ZuZBK7L7Pp7Om,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,X07TRBR,no,Freddie,Jim (White),,Tom,"Noticed the tech manipulation, felt that Freddy was resistant, regurgitated the stated study intention when asked about hypotheses. Did not seem to predict racial manipulation, but when she saw the modern discrimination scale she said ""oh yes and racial disparities definitely"" Didn't occur until after the fact.",Freddy's phone rang
2021-04-30 18:45:21,2021-04-30 18:50:28,IP Address,97.113.132.228,100,306,True,2021-04-30 18:50:29,R_bq0ekl36KvYgwNP,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,EL0415BL,no,Tom,Bill (white),,Tom,"1) Yes, they were a bit confused about what the interaction should entail as sometimes they just discuss history while other times they talk about treatment recommendation with the patient 1a) before the first patient interview 2) No, just something about telehealth when she saw it in the email 3) How clinician's current mental state effects interactions during telehealth encounters. 3a) when taking the first survey about anxiety and how they are feeling ","She took a SUDs measure before I explained it (as it was changed about an hour prior), she ask about how she was a bit confused about how to conduct the patient interview after the first patient, and a dog was barking intermittently in James background"
2021-05-01 12:31:44,2021-05-01 13:36:31,IP Address,24.143.110.102,100,3887,True,2021-05-01 13:36:32,R_3scXUJDaTsUGL5M,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,MA05BEHA,No,Freddie,Richard (Black),,Tom,"not sure if it was telehealth at a clinic of telehealth from home; needed to ask certain questions to get certain things from them (e.g. colon cancer); better than normal patients, more forthcoming; is telehealth as thorough as in person care","The doctor was super long and thorough but nothing unexpected happened. Richard's first run but seemed to go well. "
2021-05-03 13:27:25,2021-05-03 14:48:05,IP Address,67.183.228.238,100,4839,True,2021-05-03 14:48:05,R_3P6kEaJzMvbRDMW,,,,,47.5558929443359375,-121.9987030029296875,anonymous,EN,LA08HOBR,No,Freddie,Jim (White),,Tom,"1. she didn’t know if tom was supposed to be muted, forgot that this was telemedicine and became awkward, that was it  2. how do labs work with telemedicine and clinic visits, thought this when she wanted to give labs and couldn’t, had to figure out how to get them labs  3. the more stressed you are, the worse you do in telemedicine. the more confident you are the better the patient interaction becomes. thought this as she was chatting to the patients and before/after patients. ","Med student was confused on what her role was at the beginning of the study, but soon understood. Also confused on wording of bias portion of studies, especially on word “appear”. James/Freddie had a little bit of tech issues in the beginning (not turning his camera on or unmuting) but was able to get everything ready in less than a minute. "
2021-05-05 10:43:15,2021-05-05 12:19:57,IP Address,67.183.228.238,100,5801,True,2021-05-05 12:19:57,R_2Pzk1ZqAlEeFx3W,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,X03WABR,"No ",Freddie,Jim (White),,Freddie,"1. for the second patient what type of appointment was it? more of a acute care setting.  2. both provided provider some stress, he was worried if they would follow up, both seemed hesitant to answer questions. had these thoughts as he was talking to them, both minimized their issues.  3. how does pre-interview mood affect stress levels and quality of care that they provide through telemedicine? thought this because of the surveys and the consent form. ","Freddie was supposed to have tech issues and did not. "
2021-05-05 13:22:52,2021-05-05 14:36:12,IP Address,67.183.228.238,100,4399,True,2021-05-05 14:36:12,R_3gSF2hIl12xIDf3,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,X0316BL,No,Tom,David (Black),,Freddie,"1. nothing confusing  2. first patient seemed very standard patient, second patient was older and more complex, trouble using telemedicine, gave provider more stress. started thinking this after looking at second patient’s chart.  3. certain medical visits are more stressful for providers ",N/A
2021-05-06 17:22:08,2021-05-06 17:30:35,IP Address,97.113.132.228,100,507,True,2021-05-06 17:30:35,R_3KJDPCzgcEMMfEC,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,X1037br,yes from 5 to 10,Tom,Jim (White),,Tom,1) They said that they were unsure how specific to be with recommendations as well as how much background they should know because if it was a real encounter they would have dug deeper into history prior 1A) during the interviews 2) How they seemed less invested in their health 2a) when the Tom said he hadnt seen a doctor in 10 years and Freddy was resistant to diet change after previous reccomendations 3)providers who were more stressed wouldn't perform as well or miss aspects of the patients. 3a) from the first email describing to study. I dont think they knew the true study purpose,"Right after being given her 1st patient she left the room because the police knocked at her door because her security system went off because of an open window. Freddy wasn't supposed to have technical difficulties, he unmuted asked if I (Katie) could hear him and then took about 30 seconds to turn his camera on. And she got a phone call and rejected it in the middle of the second patient encounter"
2021-05-07 17:24:45,2021-05-07 17:32:04,IP Address,97.113.132.228,100,438,True,2021-05-07 17:32:04,R_b3i1C9jVz8ckJTb,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,mo10eibr,no,Tom,Bill (white),,Tom,1) She found the SUDs scale a bit confusing and she has never done a video call so she said some of the logistics were confusing. 1a) before and during the first meeting. 2) How the patients came off emotionally like how stand-offish or confused they were 2a) at the beginning of her encounter 3) When the personality type of the provider and patient are more similar there is less provider anxiety and give better recommendations 3a) when asked,She hasn't done clinical work in a year so that made her a bit anxious in the beginning. She mentioned how they were actors in between interactions so she seemed pretty aware of that. Richard again spoke with his video off then turned it on and had a bit of trouble leaving the meeting.
2021-05-08 13:26:30,2021-05-08 14:07:00,IP Address,24.143.110.102,100,2430,True,2021-05-08 14:07:00,R_1C8UHPJnSGBZgP1,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,AN12EDBL,no,Freddie,Richard (Black),,Tom,Everything was clear; waiting for 2 very different appointment or some kind of difficulty in the second one because; noticed that the second patient was Black; talked about social determinants; curious about whether that was intentional...but wanted to put that out of my mind; seems like he noticed that the second patient was Black but didn't think anything of it until close to the end when Richard expressed uncertainty about COVID and DR got into a discussion of social determinants. Then he started examining differences and similarities between the patients and noticed that they were very similar except for race. Imagined hypothesis: Expected that one would be super stressful--that people with more extreme stress would be more stressed with stressful patients; that the encounter with the Black patient would be more stressful for people; Black patient mentioned something about social determinants and THATs when he thought it was race related,"Tom was not pushing for a current checkup, asked to be scheduled for one in the future. "
2021-05-08 15:24:16,2021-05-08 16:29:37,IP Address,24.143.110.102,100,3921,True,2021-05-08 16:29:38,R_3ncQU1y8kxIxdyD,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,RO1119BR,no,Freddie,Richard (Black),,Tom,"""are you worried?"" - unsure how to interpret. Always suspicious that there is info that won't be volunteered unless it's asked for - motivational interviewing for patient #1; #2 seemed straightforward; patient communication behavior study--people who rank their stress as high are more likely to be concerned about problems, order tests, etc. ",participant's internet failed half way through the patient exam; she had to reconnect with slower internet speed; broke up a lot in both exams; Tom said he had a colonoscopy; overall sort of a mess.
2021-05-12 11:22:57,2021-05-12 12:51:58,IP Address,67.183.228.238,100,5340,True,2021-05-12 12:51:58,R_2QLiaCzk0BS5IsD,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,CO06VEBR,No,Tom,Jim (White),,Freddie,"1. unclear about what the care setting was, was this the ER, primary care, etc., also wish she could have seen the patient chart during the examination. started thinking these things during the second patient visit when she didn’t know his blood pressure  2. first patient - interesting personality, didn’t care much about his health it seemed, difficult interaction. second patient - typical health screening, how to discuss making life style changes. started thinking this as soon as she started talking to first patient and during second patient interaction when she didn’t know blood pressure  3. thought the hypotheses were that providers who are more stressed before interactions might be more thrown during interactions. providers with less stress might be able to be more calm during interactions. thought this when she saw email about study.  ","Participant did take a small 1 minute break to see what room she had to be in, discussed study with her brother. “I’m in a study about how stressed you are”. "
2021-05-12 13:20:38,2021-05-12 14:30:33,IP Address,67.183.228.238,100,4194,True,2021-05-12 14:30:33,R_1isnySAuNEXBlsx,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,X117TBR,No,Tom,Richard (Black),,Freddie,"1. no nothing confusing  2. didn’t seem like anything in particular  3. increased stress with increased complexity cases ","Richard said his mom died at age 75 2 years ago, and then also said he was currently 68, meaning his mom would have had him at age 9? might place some doubt on provider "
2021-05-15 13:18:26,2021-05-15 14:00:36,IP Address,24.143.110.102,100,2529,True,2021-05-15 14:00:36,R_RxZTb7YUHghDKJX,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,Ka02LaBr,no,Tom,Bill (white),,Freddie,Telehealth: difficult to get all the information needed. Tom would give few word answers. Could've gotten more information with a lung exam etc. Chief complaints are fair to do by Telehealth; usually older adults use Telehealth more often; how effective are Telehealth visits from the provider perspective,"ugh forgot to record. Notes on what did or did not happen: TOM: heard about diarrhea but did not ask about colon screening. Tom was hesitant about follow up in person appointment but doctor pushed for that. Did not push for COVID test until patient refused to stay home from work on Monday. Freddy: a lot of focus on the diet stuff, thought exhaustion was d/t getting up to pee in the night. No questions about adherence. No help when muted. No conversation about changing meds, more focus on diet. Participant seems not to have completed pre-screen survey but I did not realize until it was too late; gave to them after IAT."
2021-05-15 15:24:23,2021-05-15 16:16:16,IP Address,24.143.110.102,100,3113,True,2021-05-15 16:16:17,R_232fTDDTKkjxWDk,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,AN0662BU,no,Tom,David (Black),,Freddie,"Instructions clear; Freddy chart issue. Missed the body language--wondered if there was something more going on with Tom that couldn't be read above neck. Wondering if Freddy was going to have something more severe happen. Can't think of anything that researchers would be particularly interested in. Hypotheses: Tom didn't fit COVID guidelines, would we be more apt to order a test without seeing someone in person. Freddy: limitations of Telehealth without a physical. Does that change what questions you ask or steps you order? People more willing to order tests or workup in telehealth - predicted by stress or insecurity of telehealth",Had a problem with Freddy's chart. Still could read but looked like a word doc
2021-05-18 15:22:29,2021-05-18 15:25:46,IP Address,97.113.132.228,100,196,True,2021-05-18 15:25:46,R_3L584AqEBXH9X4Z,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,X05XBR,no,Tom,Richard (Black),,Tom,1)She said it was clear but would have liked a little more room in the box to give treatment recommendations. 2) no 3) how people's different personalities affect how they differ in telehealth versus in clinic visits a) While doing the first post interview survey. -- I do not think they knew the true purpose of the study,no
2021-05-18 17:20:39,2021-05-18 17:23:16,IP Address,97.113.132.228,100,156,True,2021-05-18 17:23:16,R_DoP0YGjA7JuMNOh,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,X10GRHA,no,Tom,Bill (white),,Freddie,1)yes it was clear 2) no 3) that provider empathy increases stress when interaction include the patient having scarier interpersonal conflicts a)throughout the study as it went on. -- I do not think she knew the true study purpose,no
2021-05-19 12:22:36,2021-05-19 13:30:37,IP Address,67.183.228.238,100,4081,True,2021-05-19 13:30:37,R_3D6czIjqPAy7DKK,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,LE0924BI,No,Tom,David (Black),,Tom,"1. no  2. covid screening and patients with chronic health conditions who have had bad providers before. first patient when he first started talking but second patient when he talked about previous provider.  3. increased stress levels lead to less effective interactions. because of all the surveys about stress. ",No
2021-05-20 15:32:58,2021-05-20 16:16:30,IP Address,24.143.110.102,100,2612,True,2021-05-20 16:16:31,R_120eseU90nh3e6k,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,HI04XBR,No,Tom,Jim (White),,Freddie,"Haven't done telemedicine, forgot that it wasn't just a role play - struggled. 2) how he has not accessed care in a while; could go really deep rather than stay with chief complaint; medications, no trouble standing--thought that chart was more severe than patient; one patient was resistant, one was willing to follow up on care. How does patient willingness affect quality of care? How can the provider engage patients based on personalities?","Tom said he didn't have any GI symptoms. "
2021-05-22 12:36:00,2021-05-22 13:25:23,IP Address,24.143.110.102,100,2962,True,2021-05-22 13:25:23,R_1LOPc2ki9C3UFWb,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,AI1121BR,no,Freddie,Bill (white),,Freddie,"Freddy had uncontrolled diabetes, barriers to management, resistant...hard to get him to come in, had a lot of other screening stuff; length of time since saw provider. Hard to guess hypotheses...Biases towards care with patients of different races. Had this thought when interacting with Freddy and Tom. Doesn't seem like a thought at the front of his awareness (not mentioned at all until the very last question) but is a thought he had throughout the study.",Freddy said no colon cancer screening
2021-05-25 15:23:57,2021-05-25 15:30:08,IP Address,97.113.132.228,100,370,True,2021-05-25 15:30:08,R_xonmHw9UY01GuGd,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,BA0433BL,no,Tom,Richard (Black),,Freddie,1) everything was clear except whether they were meant to discuss treatment plan with patients. 2) how the patients may have had to help guide/remind providers to stay on task or talk about certain things during the visit 2a) as the first patient asked her if there were any other concerns besides what she was talking about. 3) if providers are more stressed they may be more focused on the specific problem or straight forward and take less time to talk/chat with the patient. 3a) as she was reading about the study purpose.- I do not think she knew the true study purpose,"Richard playing Tom began to talk before he was unmuted but quickly fixed it himself and took a little long to leave, though he was not meant to have tech issues."
2021-05-26 11:24:17,2021-05-26 12:19:49,IP Address,67.183.228.238,100,3331,True,2021-05-26 12:19:49,R_U9hBNNN01LdAZ1L,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,SA0575GR,No,Tom,David (Black),,Freddie,"1. everything clear  2. acute vs chronic, thought that when she saw their chief concerns  3. not sure, maybe comparing time it takes to see chronic vs acute, thought that when i prompted ","Participant had to wait for 5 minutes because first patient came a little late. "
2021-05-28 17:08:04,2021-05-28 17:12:59,IP Address,97.113.132.228,100,295,True,2021-05-28 17:13:00,R_xn4wyj5iJZ5hreV,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,MA12ELBL,no,Freddie,Bill (white),,Tom,1) everything was clear 2) how misinformed patients were and death anxiety of patients. 2a) as the freddy brought up death anxiety and Tom mentioned misinformation about Covid and the Vaccine 3) providers stress levels increase when controversial topics are brought up by patients 3a) as Tom started talking about Covid misinformation. I dont think she knew the true study purpose,"Richard did not turn on his camera so she did not know his race and also this implies tech difficulties which he wasnt supposed to have, so this data is likely unusable"
2021-05-29 15:25:31,2021-05-29 16:03:56,IP Address,24.143.110.102,100,2305,True,2021-05-29 16:03:57,R_2xYkaKf4nzonyw9,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,RE06TWBL,n/a,Freddie,David (Black),,Tom,how full the appointment is supposed to be; second was most concerning for the alcohol use; people are less comfortable talking about alcohol use; mentioned tech trouble of Freddy; medical students would have increased anxiety/hesitancy talking about difficult subject on Telehealth.,"no! "
2021-06-09 11:21:18,2021-06-09 12:21:58,IP Address,67.183.228.238,100,3640,True,2021-06-09 12:21:58,R_1CdXEpcDObqMvtm,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,AN12LABR,No,Tom,Richard (Black),,Freddie,"1. nothing  2. getting onto the visits itself and their age (both elderly). thought this after the first patient seemed to have a lot of tech issues 3. seeing a distressed patient who couldn’t communicate would cause stress in the provider. thought this after she saw the second patient struggle. ","Richard/Tom had tech issues as well, but they did not appear to be on purpose. Said “I wasn’t supposed to have tech problems today!” but that didn’t seem to give anything away about the study "
2021-06-09 13:21:27,2021-06-09 14:40:33,IP Address,67.183.228.238,100,4746,True,2021-06-09 14:40:34,R_1jle634sv3y2yno,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,BA11ANBR,No,Freddie,Richard (Black),,Tom,"1. nothing  2. first patient - dietary intake and lifestyle modification. second patient - covid fears, alcohol intake, screening tests and reestablishment of care. started thinking this after seeing the charts and hearing about not seeing the doctor after 10 years.  3. asking patients about their lifestyle, providers who are more calm might be more prone to asking questions about care. another hypothesis might be providers might get nervous after asking hard questions about care. started thinking this after talking to patients. ","The patient mentioned the provider was breaking up a bit but the issue was fixed quickly after the provider changed WiFis. "
2021-06-21 11:21:13,2021-06-21 11:51:17,IP Address,67.183.228.238,100,1804,True,2021-06-21 11:51:18,R_1QKESeG2DT6ZZYS,,,,,47.58709716796875,-122.0388031005859375,anonymous,EN,JE11WIBL,"No ",,,,,"Participant did not end up seeing either patient. ",
2021-06-29 10:00:19,2021-06-29 11:11:17,IP Address,67.183.228.238,100,4258,True,2021-06-29 11:11:18,R_1LtFAQnNUkUltET,,,,,47.5558929443359375,-121.9987030029296875,anonymous,EN,GI11WIBI,No,Tom,David (Black),,Freddie,"1. no  2. conditions were probably the highlight. first patient gave off short answers and second patient gave longer answers. thought this pretty early on.  3. higher stress person will interact with a patient differently ","1. While I was trying to type “yes” in the coding sheet I accidentally sent it in the zoom chat, and the medical student noticed, but didn’t question it. 2. i leaned on the space bar and a podcast started playing for a second while i was thanking her for telling me about her experiences with the study. PARTICIPANT ENTERED ID WRONG, SHOULD BE JE11WIBL"
2022-02-15 20:38:42,2022-02-15 20:38:46,IP Address,173.10.105.90,100,4,True,2022-02-15 20:38:46,R_3Ga25u3nQ3XawUH,,,,,47.6631011962890625,-122.3029022216796875,anonymous,EN,,,,,,,,
2022-03-09 10:18:40,2022-03-09 10:18:57,IP Address,173.10.105.90,100,16,True,2022-03-09 10:18:57,R_1LAt4wfiZTQRHkL,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,,,,,,,,
2022-03-23 10:19:25,2022-03-23 11:25:55,IP Address,24.113.214.174,100,3989,True,2022-03-23 11:25:55,R_W8qthxfM2rBI3KN,,,,,47.6620941162109375,-122.6981048583984375,anonymous,EN,cccc,No,Freddie,Bill (white),,Freddie,"They don't seem to have known the true study purpose, and didn't consider a hypothesis until I prompted them to guess one.","Nothing odd happened during the study to my knowledge. "
2022-03-23 10:19:12,2022-03-23 11:26:03,IP Address,73.225.253.161,100,4010,True,2022-03-23 11:26:03,R_2v6OvGWqabOrSHG,,,,,47.717803955078125,-122.299896240234375,anonymous,EN,cccc,No- was 35 (in range),Freddie,Bill (white),,Freddie,"Participant said everything was outlined very clearly. Noticed one patient was more friendly than the other. Hypothesized that the friendly patients would make med students less anxious. Didn't know the true study purpose. ",No
2022-04-01 11:03:51,2022-04-01 13:29:33,IP Address,205.175.106.104,100,8742,True,2022-04-01 13:29:33,R_3JKk9jIW28cvX6r,,,,,47.6631011962890625,-122.3029022216796875,anonymous,EN,RA01BEHA,No,Freddie,Jim (White),David (Black),Tom,"1) Felt easier with the second one because I didn't know what to do in the first one. 2) personalities were different, he was more gruff; made this discovery after the second patient. 3) Hypotheses were how an MD's personality adjusts to different personalities in a virtual setting; this suspicion with the second patient. ","Davids wifi cut off for a second, this led him to freezing on the screen. The MD consulted me via chat, but I did not respond. So, both patients had technical difficulties. MD does not believe she performed correctly with the first patient; wishes there was more instruction. "
