StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q79,Q149,Q148,Q89,Q91,Q93,Q95,Q97,Q97_4_TEXT,Q99,Q99_5_TEXT,Q101,Q101_5_TEXT,Q103,Q103_2_TEXT,Q87,Q153,Q85,Q85_1_TEXT,Q85_2_TEXT,Q85_3_TEXT,Q85_4_TEXT,Q107,Q109,Q111,Q113,Q115,Q117,Q119,Q121,Q123,Q125,Q127,Q129,Q131,Q135,Q137,Q139,Q141,Q143,Q145,Q147,Q149,Q151,Q153,Q155,Q157,Q159,Q161,Q163,Q165,Q167,Q169,Q171,Q173,Q177,Q179,Q181,Q183,Q185,Q187,Q189,Q191,Q193,Q195,Q197,Q199,Q201,Q203
2021-03-02 11:57:14,2021-03-02 11:57:40,Survey Preview,100,26,True,2021-03-02 11:57:42,R_agCalynGjdfxxg5,preview,EN,Agree,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02 12:42:12,2021-03-02 12:46:14,Survey Preview,100,242,True,2021-03-02 12:46:16,R_1QmuUybqzhnANMJ,preview,EN,Agree,,,25-30 years old,"5'3""-5'6""",,,,,,,,,,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Ka,03,Bl,Ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02 12:57:46,2021-03-02 13:00:07,Survey Preview,100,141,True,2021-03-02 13:00:09,R_3qHzlqRNkXT9bSa,preview,EN,Agree,,,,,,,,,,,,,,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",ka,03,bl,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02 13:06:50,2021-03-02 13:06:55,IP Address,100,4,True,2021-03-02 13:06:55,R_eCBaxGKxEILxgyd,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04 16:12:17,2021-03-05 17:18:46,IP Address,100,90388,True,2021-03-05 17:18:46,R_2WOwMpL0DHqvLP8,anonymous,EN,Agree,,,Under 25 years old,"5'0""-5'3""",100-125 lbs,Female,Female,,Heterosexual,,Black/African American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Ly,04,16,Gr,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,2= Sometimes,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,4= Almost always,3= Often,2= Sometimes,3= Often,2= Sometimes,2,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,2,2,2,1= Not at all characteristic or true of me,2
2021-03-08 11:49:18,2021-03-08 11:51:41,IP Address,100,143,True,2021-03-08 11:51:42,R_uz9mRg5LCqmRfA5,anonymous,EN,Agree,,,30-35 years old,"5'3""-5'6""",125-150 lbs,,Female,,Queer,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Ka,03,Bl,Ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09 18:28:42,2021-03-09 18:50:30,IP Address,100,1307,True,2021-03-09 18:50:30,R_eERKur9izrvrYoV,anonymous,EN,Agree,,,Under 25 years old,"5'9""-6'0""",225+ lbs,Female,Female,,Heterosexual,,Black/African American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",AD,01,AW,BL,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,1= Almost never,2= Sometimes,4= Almost always,2= Sometimes,1= Almost never,2= Sometimes,2= Sometimes,3= Often,4= Almost always,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,4= Almost always,4= Almost always,2= Sometimes,2= Sometimes,1= Almost never,1= Almost never,5= Extremely characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,4,5= Extremely characteristic or true of me,3= Moderately characteristic or true of me,5= Extremely characteristic or true of me,5= Extremely characteristic or true of me,5= Extremely characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-03-16 19:55:54,2021-03-16 19:56:24,IP Address,100,29,True,2021-03-16 19:56:24,R_wSNVctlFJEoXhfz,anonymous,EN,Agree,,,25-30 years old,"5'3""-5'6""",150-175 lbs,,,,,,,,,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",ka,sd,sd,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 09:45:36,2021-04-20 09:49:58,IP Address,100,261,True,2021-04-20 09:49:59,R_1Nb8bPUHHQ9tstY,anonymous,EN,Agree,,,25-30 years old,"5'6""-5'9""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",MC,07,RI,BL,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,3= Often,1= Almost never,4= Almost always,1= Almost never,1= Almost never,3= Often,3= Often,1= Almost never,1= Almost never,4= Almost always,1= Almost never,1= Almost never,4= Almost always,3= Often,1= Almost never,4= Almost always,2= Sometimes,1= Almost never,4= Almost always,2= Sometimes,2,2,2,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-04-20 09:54:00,2021-04-20 09:54:00,Spam,100,0,True,2021-04-20 09:54:01,R_bdXmiLvgZpY0EJb,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 09:57:56,2021-04-20 09:57:56,Spam,100,0,True,2021-04-20 09:57:57,R_10DaBOuOF5tgMES,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 09:58:38,2021-04-20 09:58:38,Spam,100,0,True,2021-04-20 09:58:38,R_2bZgyruxgA1V1EL,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 09:53:47,2021-04-20 09:59:35,IP Address,100,348,True,2021-04-20 09:59:35,R_1KwGk2tQt65mYUf,anonymous,EN,Agree,,,25-30 years old,"5'9""-6'0""",150-175 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",LO,12,68,BL,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,4= Almost always,2= Sometimes,4= Almost always,2= Sometimes,1= Almost never,2= Sometimes,3= Often,1= Almost never,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,1= Almost never,4= Almost always,2= Sometimes,3= Often,3= Often,1= Almost never,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-04-20 09:54:36,2021-04-20 10:00:38,IP Address,100,362,True,2021-04-20 10:00:39,R_PNUMsu5XW1KLjZn,anonymous,EN,Agree,,,25-30 years old,"5'0""-5'3""",100-125 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",VI,12,60,BR,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,4= Almost always,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,1= Almost never,3= Often,3= Often,1= Almost never,4= Almost always,3= Often,2= Sometimes,4= Almost always,4= Almost always,3= Often,3= Often,4= Almost always,1= Almost never,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,4,4,1= Not at all characteristic or true of me,5= Extremely characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2
2021-04-20 09:56:27,2021-04-20 10:02:27,IP Address,100,360,True,2021-04-20 10:02:28,R_2brzWto1pfjGaY1,anonymous,EN,Agree,,,25-30 years old,"5'0""-5'3""",100-125 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",MA,12,EL,BL,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,1= Almost never,2= Sometimes,2= Sometimes,1= Almost never,3= Often,1= Almost never,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,1= Almost never,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,4,5= Extremely characteristic or true of me,4,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,2,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,2
2021-04-20 09:57:52,2021-04-20 10:04:26,IP Address,100,393,True,2021-04-20 10:04:26,R_1QuOcBOXT54nIFi,anonymous,EN,Agree,,,25-30 years old,"5'3""-5'6""",100-125 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Sh,04,Ca,Bl,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,3= Often,3= Often,2= Sometimes,4= Almost always,3= Often,1= Almost never,3= Often,2= Sometimes,4= Almost always,2= Sometimes,1= Almost never,4= Almost always,2= Sometimes,3= Often,3= Often,2= Sometimes,3= Often,3= Often,3= Often,1= Almost never,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,5= Extremely characteristic or true of me,2,4,5= Extremely characteristic or true of me,4,4,1= Not at all characteristic or true of me,2
2021-04-20 09:54:18,2021-04-20 10:10:44,IP Address,100,986,True,2021-04-20 10:10:45,R_2v1y94oV8Iegsc7,anonymous,EN,Agree,,,30-35 years old,"5'3""-5'6""",125-150 lbs,Male,Other:,Nonbinary,Queer,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Ra,12,Fi,Bl,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,3= Often,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,3= Moderately characteristic or true of me,2,4,4,2,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,2
2021-04-20 10:14:24,2021-04-20 10:14:24,Spam,100,0,True,2021-04-20 10:14:24,R_9KSGkyu3JDiGaDD,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20 10:04:22,2021-04-20 10:21:49,IP Address,100,1047,True,2021-04-20 10:21:49,R_1LuOv9MQmWOUbFu,anonymous,EN,Agree,,,25-30 years old,"5'0""-5'3""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Ma,05,Be,Ha,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,4= Almost always,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,1= Almost never,3= Often,2= Sometimes,2= Sometimes,4= Almost always,1= Almost never,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2
